axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,3,6,0.001,0.0018759382094543787,2.3855781852659437,2.3855188357097497,2.3858000151730048,2.3857406656168108,0.0,-0.0,True,False
Q_A_topsis_0_1,0,3,7,0.0004942223216713174,0.00185172680921174,2.3855781852659437,2.385548853390491,2.3834078888073074,2.383378556931855,0.0,-0.0,True,False
Q_A_topsis_0_1,0,3,8,0.001,0.0018726517954614794,2.3855781852659437,2.3855188357097497,2.3852908973656763,2.3852315478094823,0.0,-0.0,True,False
Q_A_topsis_0_1,0,3,9,0.00020387336597682237,0.0018829794544358166,2.3855781852659437,2.3855660854721528,2.384642672721119,2.3846305729273287,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,10,0.001,0.001869107552021912,2.3855781852659437,2.3855188357097497,2.385252300352736,2.3851929507965415,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,11,0.001,0.0018748249048872302,2.3855781852659437,2.3855188357097497,2.385446222744704,2.38538687318851,0.0,-0.0,True,False
Q_A_topsis_0_1,0,3,12,0.001,0.0018569201843287282,2.3855781852659437,2.3855188357097497,2.3832599002932566,2.383200550737062,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,13,0.001,0.0018455537952373274,2.3855781852659437,2.3855188357097497,2.384283486089201,2.3842241365330064,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,14,0.001,0.0018267138427613878,2.3855781852659437,2.3855188357097497,2.3835569802044962,2.383497630648302,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,15,0.001,0.0018724403044383712,2.3855781852659437,2.3855188357097497,2.38523977222687,2.3851804226706754,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,16,0.001,0.0018758249892833032,2.3855781852659437,2.3855188357097497,2.3854495335266876,2.3853901839704936,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,5,0.001,0.0018691803237610202,2.3855781852659437,2.3854250056248842,2.3841764511955996,2.3840232715545406,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,4,6,0.001,0.001878133475795524,2.3855781852659437,2.3854250056248842,2.3858000151730048,2.3856468355319453,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,7,0.0004939927130071343,0.001850556396846851,2.3855781852659437,2.3855025156394793,2.3834088970961864,2.383333227469722,0.0,-0.0,True,False
