task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A60M,full_mixture,none,offset,0,52,0.14320974462881006,0.1835179469326538,0.14075047937878982,-0.03494789189697642,0.5462306838555451
A60M,full_mixture,none,offset,1,51,0.1524258149687091,0.18916607834417556,0.4040879134478732,0.02024338580267331,0.6990950226244343
A60M,full_mixture,none,offset,2,51,0.14094585922037395,0.17884383845257687,0.17719062553874865,0.0398440002961362,0.4935746606334841
A60M,full_mixture,none,offset,3,51,0.15673680228005654,0.20399377176868513,0.33813372879730597,0.00015198678086935548,0.5076923076923077
A60M,full_mixture,none,offset,4,51,0.16099242855177015,0.21705861397733964,-0.3272888715883657,-0.024780048418357466,0.4666968325791855
A60M,full_mixture,none,raw,0,52,1.4802373065667862,1.491160610212873,-55.72977493554276,1.4802373065667862,0.5462306838555451
A60M,full_mixture,none,raw,1,51,1.524296931709486,1.5358564863118929,-38.28230339252063,1.524296931709486,0.6990950226244343
A60M,full_mixture,none,raw,2,51,1.5399927362843293,1.549830701077169,-60.79022629505604,1.5399927362843293,0.4935746606334841
A60M,full_mixture,none,raw,3,51,1.5082081160865572,1.521941246319908,-35.84106770188245,1.5082081160865572,0.5076923076923077
A60M,full_mixture,none,raw,4,51,1.4882430097746764,1.503784441748662,-62.70632849725717,1.4882430097746764,0.4666968325791855
A60M,full_mixture,none,selected,0,52,0.13413889326381587,0.17093820784248245,0.2545122571095114,-0.03396381416235325,0.5462306838555451
A60M,full_mixture,none,selected,1,51,0.1528495055874136,0.1964204608466441,0.35750592875022214,0.019537312056930142,0.6990950226244343
A60M,full_mixture,none,selected,2,51,0.13635283672811352,0.16803725655478852,0.27362241965464107,0.044236572864466375,0.4935746606334841
A60M,full_mixture,none,selected,3,51,0.14661223563642103,0.20962573125435016,0.30108298213950935,-0.008951375193434025,0.5076923076923077
A60M,full_mixture,none,selected,4,51,0.16099242855177015,0.21705861397733964,-0.3272888715883657,-0.024780048418357466,0.4666968325791855
B2,scale,none,affine,0,147,0.5281880445245665,0.5642262683200648,-0.492155448315049,0.46260137900241743,0.9973233092669779
B2,scale,none,affine,1,147,0.2997774880239897,0.377392158067797,0.33212928172321143,0.1282606517092181,0.9973176474145438
B2,scale,none,affine,2,147,0.25240102415558086,0.3617879226205872,0.38895430016914867,0.025774191946705584,0.9982866913047646
B2,scale,none,affine,3,147,0.2336703416066686,0.36389087391683045,0.3862244159231629,-0.032618897122517455,0.9979173968404175
B2,scale,none,affine,4,147,0.21978123765794536,0.367013288841418,0.36913116141868785,-0.07999209201186935,0.997671829101934
B2,scale,none,affine,5,147,0.21588601472659535,0.38098092812176404,0.3252645590413954,-0.1343655403438304,0.998265915785996
